key,value
m_url,http://bbcnewsd73hkzno2ini43t4gblxvycyac5aw4gnv7t2rccijh7745uqd.onion
m_url,https://amazon-clone-project-alpha.vercel.app
m_url,https://github.com/docker/compose
m_company_name,Crown Laboratories
m_url,https://cert.pl/en/posts/2024/07/mailgoose/
m_cve,CVE-2026-28318
m_mention,@vxunderground
m_mention,@webshel_group
m_email,ydt.sja@gail.ccmm
m_domain,www.bbc.com
m_url,https://raw.githubusercontent.com/trickest/cve/main/2026/CVE-2026-10105.md
m_playstore_url,https://play.google.com/store/apps/details?id=com.jrzheng.supervpnfree&hl=en
m_software,Grand Theft Auto V / GTA 5 (Legacy)
m_software,adobe acrobat
m_person,superman0011
